,hour,rentals
576,2023-01-25 00:00:00,29
577,2023-01-25 01:00:00,10
578,2023-01-25 02:00:00,8
579,2023-01-25 03:00:00,11
580,2023-01-25 04:00:00,11
581,2023-01-25 05:00:00,56
582,2023-01-25 06:00:00,188
583,2023-01-25 07:00:00,428
584,2023-01-25 08:00:00,757
585,2023-01-25 09:00:00,473
586,2023-01-25 10:00:00,222
587,2023-01-25 11:00:00,198
588,2023-01-25 12:00:00,148
589,2023-01-25 13:00:00,63
590,2023-01-25 14:00:00,57
591,2023-01-25 15:00:00,125
592,2023-01-25 16:00:00,167
593,2023-01-25 17:00:00,339
594,2023-01-25 18:00:00,319
595,2023-01-25 19:00:00,288
596,2023-01-25 20:00:00,201
597,2023-01-25 21:00:00,130
598,2023-01-25 22:00:00,128
599,2023-01-25 23:00:00,70
600,2023-01-26 00:00:00,33
601,2023-01-26 01:00:00,13
602,2023-01-26 02:00:00,8
603,2023-01-26 03:00:00,6
604,2023-01-26 04:00:00,8
605,2023-01-26 05:00:00,78
606,2023-01-26 06:00:00,172
607,2023-01-26 07:00:00,421
608,2023-01-26 08:00:00,742
609,2023-01-26 09:00:00,447
610,2023-01-26 10:00:00,293
611,2023-01-26 11:00:00,302
612,2023-01-26 12:00:00,314
613,2023-01-26 13:00:00,313
614,2023-01-26 14:00:00,327
615,2023-01-26 15:00:00,383
616,2023-01-26 16:00:00,576
617,2023-01-26 17:00:00,897
618,2023-01-26 18:00:00,741
619,2023-01-26 19:00:00,521
620,2023-01-26 20:00:00,348
621,2023-01-26 21:00:00,301
622,2023-01-26 22:00:00,185
623,2023-01-26 23:00:00,117
624,2023-01-27 00:00:00,78
625,2023-01-27 01:00:00,17
626,2023-01-27 02:00:00,15
627,2023-01-27 03:00:00,9
628,2023-01-27 04:00:00,13
629,2023-01-27 05:00:00,59
630,2023-01-27 06:00:00,137
631,2023-01-27 07:00:00,351
632,2023-01-27 08:00:00,505
633,2023-01-27 09:00:00,345
634,2023-01-27 10:00:00,269
635,2023-01-27 11:00:00,302
636,2023-01-27 12:00:00,360
637,2023-01-27 13:00:00,389
638,2023-01-27 14:00:00,432
639,2023-01-27 15:00:00,465
640,2023-01-27 16:00:00,559
641,2023-01-27 17:00:00,725
642,2023-01-27 18:00:00,537
643,2023-01-27 19:00:00,453
644,2023-01-27 20:00:00,276
645,2023-01-27 21:00:00,214
646,2023-01-27 22:00:00,150
647,2023-01-27 23:00:00,154
648,2023-01-28 00:00:00,115
649,2023-01-28 01:00:00,101
650,2023-01-28 02:00:00,62
651,2023-01-28 03:00:00,18
652,2023-01-28 04:00:00,13
653,2023-01-28 05:00:00,17
654,2023-01-28 06:00:00,42
655,2023-01-28 07:00:00,110
656,2023-01-28 08:00:00,226
657,2023-01-28 09:00:00,371
658,2023-01-28 10:00:00,479
659,2023-01-28 11:00:00,667
660,2023-01-28 12:00:00,769
661,2023-01-28 13:00:00,800
662,2023-01-28 14:00:00,826
663,2023-01-28 15:00:00,854
664,2023-01-28 16:00:00,838
665,2023-01-28 17:00:00,666
666,2023-01-28 18:00:00,473
667,2023-01-28 19:00:00,389
668,2023-01-28 20:00:00,296
669,2023-01-28 21:00:00,225
670,2023-01-28 22:00:00,183
671,2023-01-28 23:00:00,172
672,2023-01-29 00:00:00,182
673,2023-01-29 01:00:00,128
674,2023-01-29 02:00:00,61
675,2023-01-29 03:00:00,26
676,2023-01-29 04:00:00,15
677,2023-01-29 05:00:00,18
678,2023-01-29 06:00:00,33
679,2023-01-29 07:00:00,75
680,2023-01-29 08:00:00,142
681,2023-01-29 09:00:00,308
682,2023-01-29 10:00:00,419
683,2023-01-29 11:00:00,476
684,2023-01-29 12:00:00,289
685,2023-01-29 13:00:00,321
686,2023-01-29 14:00:00,262
687,2023-01-29 15:00:00,294
688,2023-01-29 16:00:00,336
689,2023-01-29 17:00:00,358
690,2023-01-29 18:00:00,326
691,2023-01-29 19:00:00,221
692,2023-01-29 20:00:00,184
693,2023-01-29 21:00:00,104
694,2023-01-29 22:00:00,127
695,2023-01-29 23:00:00,65
696,2023-01-30 00:00:00,25
697,2023-01-30 01:00:00,23
698,2023-01-30 02:00:00,2
699,2023-01-30 03:00:00,9
700,2023-01-30 04:00:00,10
701,2023-01-30 05:00:00,60
702,2023-01-30 06:00:00,189
703,2023-01-30 07:00:00,349
704,2023-01-30 08:00:00,645
705,2023-01-30 09:00:00,370
706,2023-01-30 10:00:00,212
707,2023-01-30 11:00:00,299
708,2023-01-30 12:00:00,324
709,2023-01-30 13:00:00,353
710,2023-01-30 14:00:00,367
711,2023-01-30 15:00:00,547
712,2023-01-30 16:00:00,658
713,2023-01-30 17:00:00,969
714,2023-01-30 18:00:00,778
715,2023-01-30 19:00:00,606
716,2023-01-30 20:00:00,380
717,2023-01-30 21:00:00,274
718,2023-01-30 22:00:00,175
719,2023-01-30 23:00:00,62
720,2023-01-31 00:00:00,31
721,2023-01-31 01:00:00,7
722,2023-01-31 02:00:00,14
723,2023-01-31 03:00:00,7
724,2023-01-31 04:00:00,14
725,2023-01-31 05:00:00,76
726,2023-01-31 06:00:00,194
727,2023-01-31 07:00:00,419
728,2023-01-31 08:00:00,357
729,2023-01-31 09:00:00,205
730,2023-01-31 10:00:00,137
731,2023-01-31 11:00:00,117
732,2023-01-31 12:00:00,152
733,2023-01-31 13:00:00,132
734,2023-01-31 14:00:00,140
735,2023-01-31 15:00:00,251
736,2023-01-31 16:00:00,341
737,2023-01-31 17:00:00,603
738,2023-01-31 18:00:00,514
739,2023-01-31 19:00:00,365
740,2023-01-31 20:00:00,289
741,2023-01-31 21:00:00,193
742,2023-01-31 22:00:00,162
743,2023-01-31 23:00:00,76
